taskid -- core -- memory -- disk -- time
369 -- 0.998 -- 3177 -- 2437 -- 827.980701
142 -- 0.806 -- 3109 -- 2437 -- 1710.679829
265 -- 0.698 -- 3174 -- 2437 -- 1216.658888
266 -- 0.542 -- 3094 -- 2437 -- 1227.107639
230 -- 1.005 -- 3132 -- 2437 -- 1360.29066
390 -- 0.597 -- 2898 -- 2437 -- 772.381873
298 -- 0.587 -- 3099 -- 2437 -- 1135.368887
8 -- 0.514 -- 3146 -- 2437 -- 2498.407725
357 -- 1.006 -- 3171 -- 2437 -- 923.9092429999999
344 -- 1.004 -- 2875 -- 2437 -- 970.288302
128 -- 1.003 -- 3283 -- 2437 -- 1828.57284
156 -- 1.004 -- 3300 -- 2437 -- 1696.919115
225 -- 0.645 -- 3171 -- 2437 -- 1414.966782
393 -- 1.006 -- 3203 -- 2437 -- 811.53676
290 -- 0.54 -- 3094 -- 2437 -- 1198.439976
375 -- 1.007 -- 3087 -- 2437 -- 904.75524
361 -- 0.887 -- 3114 -- 2437 -- 959.418067
389 -- 1.006 -- 3113 -- 2437 -- 846.952571
152 -- 1.003 -- 3321 -- 2437 -- 1788.824641
384 -- 1.003 -- 3274 -- 2437 -- 899.279078
31 -- 0.411 -- 3086 -- 2437 -- 2460.641519
192 -- 1.004 -- 3304 -- 2437 -- 1681.11476
176 -- 1.003 -- 3297 -- 2437 -- 1757.250925
98 -- 0.645 -- 3111 -- 2437 -- 2155.310133
395 -- 1.008 -- 3085 -- 2437 -- 976.464061
294 -- 1.004 -- 3091 -- 2437 -- 1362.773095
184 -- 1.003 -- 3285 -- 2437 -- 1789.52978
366 -- 0.408 -- 2645 -- 2437 -- 1133.38179
317 -- 0.618 -- 3098 -- 2437 -- 1323.288693
200 -- 1.003 -- 3275 -- 2437 -- 1782.992392
204 -- 1.003 -- 3319 -- 2437 -- 1785.057044
208 -- 1.003 -- 3317 -- 2437 -- 1791.435869
82 -- 0.515 -- 3109 -- 2437 -- 2369.78984
220 -- 1.003 -- 3263 -- 2437 -- 1801.70806
216 -- 1.003 -- 3316 -- 2437 -- 1817.287768
150 -- 0.626 -- 3109 -- 2437 -- 2202.119243
280 -- 1.003 -- 3279 -- 2437 -- 1690.398894
221 -- 0.466 -- 3104 -- 2437 -- 1915.866407
85 -- 0.703 -- 3092 -- 2437 -- 2521.240487
282 -- 0.805 -- 3108 -- 2437 -- 1698.996271
385 -- 0.618 -- 3173 -- 2437 -- 1325.52139
236 -- 1.003 -- 3336 -- 2437 -- 1877.121994
296 -- 1.004 -- 3304 -- 2437 -- 1695.111136
62 -- 0.513 -- 3109 -- 2437 -- 2709.069168
301 -- 1.004 -- 3170 -- 2437 -- 1741.777194
247 -- 0.52 -- 3073 -- 2437 -- 1934.093996
251 -- 0.522 -- 3070 -- 2437 -- 1929.373026
284 -- 1.003 -- 3381 -- 2437 -- 1817.885037
358 -- 0.869 -- 3089 -- 2437 -- 1578.948568
308 -- 1.003 -- 3283 -- 2437 -- 1793.007615
320 -- 1.003 -- 3247 -- 2437 -- 1780.807762
316 -- 1.003 -- 3253 -- 2437 -- 1797.178614
37 -- 0.581 -- 3174 -- 2437 -- 3062.005663
356 -- 1.004 -- 3301 -- 2437 -- 1698.164321
4 -- 0.576 -- 3337 -- 2437 -- 3296.756826
110 -- 0.519 -- 3109 -- 2437 -- 2691.743884
353 -- 1.002 -- 3098 -- 2437 -- 1744.16939
292 -- 1.003 -- 3281 -- 2437 -- 1992.751355
348 -- 1.003 -- 2871 -- 2437 -- 1803.448517
360 -- 1.003 -- 3295 -- 2437 -- 1756.907715
125 -- 0.659 -- 3174 -- 2437 -- 2690.847383
93 -- 0.621 -- 3173 -- 2437 -- 2843.978495
319 -- 0.52 -- 3087 -- 2437 -- 1925.154742
188 -- 0.788 -- 3317 -- 2437 -- 2470.440261
304 -- 1.004 -- 3305 -- 2437 -- 1678.594598
339 -- 0.517 -- 3073 -- 2437 -- 1939.893618
329 -- 0.89 -- 3169 -- 2437 -- 1967.159542
113 -- 0.611 -- 3175 -- 2437 -- 2863.041631
392 -- 1.003 -- 3283 -- 2437 -- 1808.010916
382 -- 0.748 -- 3091 -- 2437 -- 1856.552848
258 -- 0.598 -- 3091 -- 2437 -- 2314.012097
289 -- 0.785 -- 3096 -- 2437 -- 2203.849922
48 -- 0.546 -- 3333 -- 2437 -- 3302.231089
240 -- 1.003 -- 3288 -- 2437 -- 1830.300527
352 -- 0.843 -- 3258 -- 2437 -- 2029.5623
264 -- 0.863 -- 3324 -- 2437 -- 2375.75937
300 -- 0.76 -- 3285 -- 2437 -- 2305.734859
25 -- 0.49 -- 3094 -- 2437 -- 3579.035255
194 -- 0.514 -- 3144 -- 2437 -- 2724.920554
229 -- 0.6850000000000001 -- 3095 -- 2437 -- 2587.292265
314 -- 0.603 -- 3109 -- 2437 -- 2312.253806
214 -- 0.514 -- 3109 -- 2437 -- 2713.864191
259 -- 0.349 -- 3086 -- 2437 -- 2550.447539
372 -- 0.533 -- 2888 -- 2437 -- 2183.557435
120 -- 0.548 -- 3327 -- 2437 -- 3201.256674
380 -- 0.832 -- 3277 -- 2437 -- 2171.14045
183 -- 0.349 -- 3087 -- 2437 -- 2912.47699
187 -- 0.347 -- 3087 -- 2437 -- 2925.172092
104 -- 1.003 -- 3147 -- 2437 -- 866.6917549999999
396 -- 0.539 -- 3397 -- 2437 -- 2157.06832
198 -- 0.473 -- 3107 -- 2437 -- 2906.267657
376 -- 0.857 -- 3283 -- 2437 -- 2285.931518
388 -- 0.86 -- 3317 -- 2437 -- 2268.808494
313 -- 0.6830000000000001 -- 3090 -- 2437 -- 2595.534772
162 -- 0.383 -- 3107 -- 2437 -- 3206.195249
168 -- 0.548 -- 3271 -- 2437 -- 3196.892246
243 -- 0.346 -- 3065 -- 2437 -- 2919.837146
52 -- 0.997 -- 3325 -- 2437 -- 3837.701316
374 -- 0.536 -- 3109 -- 2437 -- 2586.592042
92 -- 1.001 -- 3329 -- 2437 -- 3829.626733
190 -- 0.409 -- 3109 -- 2437 -- 3389.105337
44 -- 0.9360000000000001 -- 3390 -- 2437 -- 4134.136719
362 -- 0.418 -- 3110 -- 2437 -- 2883.265583
157 -- 0.46 -- 3173 -- 2437 -- 3814.009236
164 -- 1.002 -- 3316 -- 2437 -- 3823.285393
253 -- 0.512 -- 3170 -- 2437 -- 3496.142297
2 -- 0.289 -- 3121 -- 2437 -- 4819.883338
196 -- 1.002 -- 3315 -- 2437 -- 3825.908136
364 -- 1.003 -- 3315 -- 2437 -- 1795.054223
138 -- 0.341 -- 3107 -- 2437 -- 4117.238305
226 -- 0.371 -- 3108 -- 2437 -- 3801.708008
76 -- 0.75 -- 3285 -- 2437 -- 4604.430213
60 -- 0.79 -- 3268 -- 2437 -- 4760.885094
33 -- 0.364 -- 3172 -- 2437 -- 4934.666047
288 -- 1.001 -- 3315 -- 2437 -- 3836.382757
270 -- 0.352 -- 3090 -- 2437 -- 3983.541366
108 -- 0.805 -- 3293 -- 2437 -- 4781.524476
160 -- 0.805 -- 3293 -- 2437 -- 4790.962791
80 -- 0.745 -- 3315 -- 2437 -- 5178.080761
1 -- 0.31 -- 3190 -- 2437 -- 5685.098482
145 -- 0.363 -- 3170 -- 2437 -- 4939.98614
36 -- 0.679 -- 3314 -- 2437 -- 5564.004169
386 -- 0.343 -- 3106 -- 2437 -- 4089.551886
394 -- 0.343 -- 3106 -- 2437 -- 4070.195063
153 -- 0.353 -- 3166 -- 2437 -- 5041.806538
105 -- 0.341 -- 3173 -- 2437 -- 5278.031764
324 -- 0.875 -- 3315 -- 2437 -- 4419.263058
9 -- 0.299 -- 3201 -- 2437 -- 5930.881347
268 -- 0.824 -- 3315 -- 2437 -- 4682.335366
182 -- 0.274 -- 3126 -- 2437 -- 5047.769043
228 -- 0.781 -- 3315 -- 2437 -- 4961.140318
244 -- 0.724 -- 3314 -- 2437 -- 5206.995531
233 -- 0.342 -- 3170 -- 2437 -- 5252.759993
349 -- 0.356 -- 3168 -- 2437 -- 5021.452488
