time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
84,0,99.8,5000,6,74,110,5000,20,200
84,1,0.0,5000,9,62,110,5000,20,200
84,2,85.3,5000,6,88,110,5000,20,200
84,3,99.9,5000,7,72,110,5000,20,200
85,0,98.9,5000,6,74,110,5000,20,200
85,1,1.8,5000,9,62,110,5000,20,200
85,2,99.3,5000,6,88,110,5000,20,200
85,3,87.8,5000,7,72,110,5000,20,200
86,0,99.2,5000,6,74,110,5000,20,200
86,1,1.3,5000,9,62,110,5000,20,200
86,2,99.0,5000,6,88,110,5000,20,200
86,3,94.3,5000,7,72,110,5000,20,200
87,0,99.0,5000,6,74,110,5000,20,200
87,1,0.0,5000,9,62,110,5000,20,200
87,2,95.5,5000,6,88,110,5000,20,200
87,3,78.8,5000,7,72,110,5000,20,200
88,0,99.8,5000,6,74,110,5000,20,200
88,1,1.5,5000,9,62,110,5000,20,200
88,2,98.3,5000,6,88,110,5000,20,200
88,3,90.0,5000,7,72,110,5000,20,200
89,0,92.3,5000,6,74,110,5000,20,200
89,1,1.3,5000,9,62,110,5000,20,200
89,2,100.2,5000,6,88,110,5000,20,200
89,3,76.3,5000,7,72,110,5000,20,200
89,4,0.0,5000,0,0,110,5000,20,200
90,0,98.6,5000,6,74,110,5000,20,200
90,1,0.0,5000,9,62,110,5000,20,200
90,2,98.6,5000,6,88,110,5000,20,200
90,3,90.0,5000,7,72,110,5000,20,200
90,4,28.4,5000,0,8,110,5000,20,200
91,0,98.6,5000,6,74,110,5000,20,200
91,1,1.4,5000,9,62,110,5000,20,200
91,2,96.3,5000,6,88,110,5000,20,200
91,3,98.5,5000,7,72,110,5000,20,200
91,4,73.6,5000,0,12,110,5000,20,200
92,0,99.7,5000,6,74,110,5000,20,200
92,1,1.8,5000,9,62,110,5000,20,200
92,2,99.6,5000,6,88,110,5000,20,200
92,3,95.8,5000,7,72,110,5000,20,200
92,4,47.2,5000,0,15,110,5000,20,200
93,0,98.1,5000,6,74,110,5000,20,200
93,1,0.0,5000,9,62,110,5000,20,200
93,2,94.0,5000,6,88,110,5000,20,200
93,3,72.5,5000,7,72,110,5000,20,200
93,4,38.7,5000,0,18,110,5000,20,200
94,0,100.4,5000,6,74,110,5000,20,200
94,1,0.0,5000,9,62,110,5000,20,200
94,2,100.5,5000,6,88,110,5000,20,200
94,3,90.2,5000,7,72,110,5000,20,200
94,4,4.6,5000,6,24,110,5000,20,200
95,0,98.2,5000,6,74,110,5000,20,200
95,1,1.4,5000,9,62,110,5000,20,200
95,2,89.7,5000,6,88,110,5000,20,200
95,3,89.2,5000,7,72,110,5000,20,200
95,4,23.4,5000,6,28,110,5000,20,200
96,0,100.7,5000,6,74,110,5000,20,200
96,1,1.4,5000,9,62,110,5000,20,200
96,2,100.7,5000,6,88,110,5000,20,200
96,3,89.0,5000,7,72,110,5000,20,200
96,4,98.7,5000,6,28,110,5000,20,200
97,0,98.1,5000,6,74,110,5000,20,200
97,1,1.2,5000,9,62,110,5000,20,200
97,2,98.1,5000,6,88,110,5000,20,200
97,3,94.7,5000,7,72,110,5000,20,200
97,4,100.7,5000,6,31,110,5000,20,200
98,0,89.5,5000,6,74,110,5000,20,200
98,1,0.0,5000,9,62,110,5000,20,200
98,2,100.4,5000,6,88,110,5000,20,200
98,3,101.1,5000,7,72,110,5000,20,200
98,4,99.9,5000,6,35,110,5000,20,200
99,0,97.7,5000,6,74,110,5000,20,200
99,1,1.6,5000,9,62,110,5000,20,200
99,2,98.3,5000,6,88,110,5000,20,200
99,3,98.9,5000,7,72,110,5000,20,200
99,4,99.5,5000,6,40,110,5000,20,200
100,0,98.6,5000,6,74,110,5000,20,200
100,1,0.0,5000,9,62,110,5000,20,200
100,2,99.9,5000,6,88,110,5000,20,200
100,3,80.2,5000,7,72,110,5000,20,200
100,4,100.5,5000,6,45,110,5000,20,200
101,0,100.1,5000,6,74,110,5000,20,200
101,1,1.4,5000,9,62,110,5000,20,200
101,2,98.7,5000,6,88,110,5000,20,200
101,3,80.8,5000,7,72,110,5000,20,200
101,4,91.4,5000,6,48,110,5000,20,200
102,0,98.7,5000,6,74,110,5000,20,200
102,1,1.5,5000,9,62,110,5000,20,200
102,2,100.0,5000,6,88,110,5000,20,200
102,3,90.1,5000,7,72,110,5000,20,200
102,4,101.0,5000,6,53,110,5000,20,200
103,0,100.2,5000,6,74,110,5000,20,200
103,1,0.0,5000,9,62,110,5000,20,200
103,2,101.4,5000,6,89,110,5000,20,200
103,3,84.9,5000,7,72,110,5000,20,200
103,4,99.2,5000,6,58,110,5000,20,200
104,0,99.1,5000,6,74,110,5000,20,200
104,1,1.4,5000,9,62,110,5000,20,200
104,2,93.8,5000,6,89,110,5000,20,200
104,3,89.8,5000,7,72,110,5000,20,200
104,4,100.5,5000,6,63,110,5000,20,200
105,0,100.1,5000,6,74,110,5000,20,200
105,1,1.5,5000,9,62,110,5000,20,200
105,2,93.4,5000,6,89,110,5000,20,200
105,3,98.2,5000,7,72,110,5000,20,200
105,4,32.2,5000,6,64,110,5000,20,200
106,0,100.3,5000,6,74,110,5000,20,200
106,1,0.0,5000,9,62,110,5000,20,200
106,2,100.2,5000,6,89,110,5000,20,200
106,3,85.1,5000,7,72,110,5000,20,200
106,4,1.4,5000,6,64,110,5000,20,200
107,0,97.9,5000,6,74,110,5000,20,200
107,1,0.0,5000,9,62,110,5000,20,200
107,2,98.2,5000,6,89,110,5000,20,200
107,3,86.1,5000,7,72,110,5000,20,200
107,4,0.0,5000,6,64,110,5000,20,200
108,0,100.0,5000,6,74,110,5000,20,200
108,1,1.4,5000,9,62,110,5000,20,200
108,2,100.4,5000,6,89,110,5000,20,200
108,3,100.2,5000,7,72,110,5000,20,200
108,4,1.5,5000,6,64,110,5000,20,200
109,0,97.1,5000,6,79,110,5000,20,200
109,1,1.4,5000,9,62,110,5000,20,200
109,2,97.2,5000,6,89,110,5000,20,200
109,3,85.2,5000,7,72,110,5000,20,200
109,4,1.4,5000,6,64,110,5000,20,200
110,0,87.7,5000,6,74,110,5000,20,200
110,1,0.0,5000,9,62,110,5000,20,200
110,2,88.8,5000,6,89,110,5000,20,200
110,3,96.0,5000,7,72,110,5000,20,200
110,4,0.0,5000,6,64,110,5000,20,200
111,0,99.9,5000,6,74,110,5000,20,200
111,1,1.0,5000,9,62,110,5000,20,200
111,2,86.7,5000,6,89,110,5000,20,200
111,3,79.2,5000,7,72,110,5000,20,200
111,4,1.3,5000,6,64,110,5000,20,200
111,5,0.0,5000,0,0,110,5000,20,200
112,0,89.7,5000,6,74,110,5000,20,200
112,1,1.3,5000,9,62,110,5000,20,200
112,2,98.2,5000,6,89,110,5000,20,200
112,3,94.8,5000,7,72,110,5000,20,200
112,4,2.9,5000,6,64,110,5000,20,200
112,5,30.8,5000,0,3,110,5000,20,200
113,0,95.6,5000,6,74,110,5000,20,200
113,1,1.5,5000,9,62,110,5000,20,200
113,2,90.0,5000,6,89,110,5000,20,200
113,3,88.3,5000,7,72,110,5000,20,200
113,4,0.0,5000,6,64,110,5000,20,200
113,5,0.0,5000,0,8,110,5000,20,200
114,0,100.7,5000,6,74,110,5000,20,200
114,1,1.3,5000,9,62,110,5000,20,200
114,2,98.0,5000,6,89,110,5000,20,200
114,3,84.7,5000,7,72,110,5000,20,200
114,4,1.3,5000,6,64,110,5000,20,200
114,5,37.9,5000,7,21,110,5000,20,200
115,0,99.2,5000,6,74,110,5000,20,200
115,1,0.0,5000,9,62,110,5000,20,200
115,2,95.4,5000,6,89,110,5000,20,200
115,3,93.0,5000,7,72,110,5000,20,200
115,4,1.5,5000,6,64,110,5000,20,200
115,5,22.1,5000,7,24,110,5000,20,200
116,0,89.5,5000,6,74,110,5000,20,200
116,1,1.3,5000,9,62,110,5000,20,200
116,2,96.6,5000,6,89,110,5000,20,200
116,3,97.1,5000,7,72,110,5000,20,200
116,4,31.5,5000,6,64,110,5000,20,200
116,5,167.3,5000,7,28,110,5000,20,200
117,0,100.0,5000,6,74,110,5000,20,200
117,1,1.5,5000,9,62,110,5000,20,200
117,2,92.2,5000,6,89,110,5000,20,200
117,3,98.2,5000,7,72,110,5000,20,200
117,4,100.2,5000,6,64,110,5000,20,200
118,0,99.0,5000,6,74,110,5000,20,200
118,1,0.0,5000,9,62,110,5000,20,200
118,2,98.6,5000,6,89,110,5000,20,200
118,3,90.5,5000,7,72,110,5000,20,200
118,4,86.8,5000,6,64,110,5000,20,200
119,0,83.6,5000,6,74,110,5000,20,200
119,1,1.3,5000,9,62,110,5000,20,200
119,2,91.4,5000,6,89,110,5000,20,200
119,3,96.1,5000,7,72,110,5000,20,200
119,4,85.4,5000,6,64,110,5000,20,200
119,6,0.0,5000,7,0,137,5000,20,200
120,0,92.8,5000,6,74,110,5000,20,200
120,1,1.4,5000,9,62,110,5000,20,200
120,2,92.7,5000,6,89,110,5000,20,200
120,3,91.3,5000,7,72,110,5000,20,200
120,4,86.9,5000,6,64,110,5000,20,200
120,6,17.3,5000,7,13,137,5000,20,200
121,0,99.1,5000,6,74,110,5000,20,200
121,1,4.4,5000,9,62,110,5000,20,200
121,2,97.7,5000,6,89,110,5000,20,200
121,3,90.9,5000,7,72,110,5000,20,200
121,4,75.0,5000,6,64,110,5000,20,200
121,6,82.1,5000,7,15,137,5000,20,200
122,0,73.5,5000,6,74,110,5000,20,200
122,1,0.0,5000,9,62,110,5000,20,200
122,2,98.1,5000,6,89,110,5000,20,200
122,3,91.4,5000,7,72,110,5000,20,200
122,4,77.8,5000,6,64,110,5000,20,200
122,6,81.4,5000,7,18,137,5000,20,200
123,0,100.3,5000,6,74,110,5000,20,200
123,1,67.2,5000,9,62,110,5000,20,200
123,2,98.3,5000,6,89,110,5000,20,200
123,3,92.9,5000,7,72,110,5000,20,200
123,4,98.7,5000,6,64,110,5000,20,200
123,6,0.0,5000,7,23,137,5000,20,200
124,0,99.6,5000,6,74,110,5000,20,200
124,1,99.6,5000,9,62,110,5000,20,200
124,2,99.9,5000,6,89,110,5000,20,200
124,3,98.9,5000,7,72,110,5000,20,200
124,4,99.9,5000,6,64,110,5000,20,200
124,6,19.7,5000,7,27,137,5000,20,200
125,0,77.0,5000,6,74,110,5000,20,200
125,1,100.0,5000,9,62,110,5000,20,200
125,2,96.3,5000,6,89,110,5000,20,200
125,3,103.0,5000,7,72,110,5000,20,200
125,4,98.8,5000,6,64,110,5000,20,200
125,6,100.80000000000001,5000,7,34,137,5000,20,200
126,0,99.8,5000,6,74,110,5000,20,200
