time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
125,6,101.0,5000,66,667,110,5000,200,2440
125,7,100.9,5000,63,440,110,5000,200,1000
126,5,73.5,5000,85,1234,110,5000,200,1250
126,6,98.3,5000,66,721,110,5000,200,2440
126,7,99.4,5000,63,496,110,5000,200,1000
127,5,85.4,5000,85,1234,110,5000,200,1250
127,6,100.6,5000,66,780,110,5000,200,2440
127,7,99.5,5000,63,557,110,5000,200,1000
128,5,85.5,5000,85,1234,110,5000,200,1250
128,6,99.9,5000,66,830,110,5000,200,2440
128,7,101.1,5000,63,617,110,5000,200,1000
129,5,88.9,5000,85,1234,110,5000,200,1250
129,6,100.5,5000,66,887,110,5000,200,2440
129,7,97.6,5000,63,678,110,5000,200,1000
130,5,99.6,5000,85,1234,110,5000,200,1250
130,6,99.3,5000,66,944,110,5000,200,2440
130,7,102.9,5000,63,739,110,5000,200,1000
131,5,97.3,5000,85,1234,110,5000,200,1250
131,6,101.0,5000,66,1000,110,5000,200,2440
131,7,99.3,5000,63,799,110,5000,200,1000
132,5,99.1,5000,85,1234,110,5000,200,1250
132,6,99.3,5000,66,1054,110,5000,200,2440
132,7,99.4,5000,63,859,110,5000,200,1000
133,5,99.0,5000,85,1234,110,5000,200,1250
133,6,100.6,5000,66,1111,110,5000,200,2440
133,7,100.9,5000,63,920,110,5000,200,1000
134,5,99.1,5000,85,1234,110,5000,200,1250
134,6,100.0,5000,66,1168,110,5000,200,2440
134,7,99.4,5000,63,981,110,5000,200,1000
135,5,99.3,5000,85,1234,110,5000,200,1250
135,6,99.3,5000,66,1225,110,5000,200,2440
135,7,99.3,5000,63,1042,110,5000,200,1000
136,5,97.9,5000,85,1234,110,5000,200,1250
136,6,99.3,5000,66,1283,110,5000,200,2440
137,5,99.5,5000,85,1234,110,5000,200,1250
137,6,99.7,5000,66,1341,110,5000,200,2440
138,5,97.6,5000,85,1234,110,5000,200,1250
138,6,100.9,5000,66,1398,110,5000,200,2440
138,8,0.0,5000,63,0,110,5000,200,1250
139,5,99.4,5000,85,1234,110,5000,200,1250
139,6,101.4,5000,66,1455,110,5000,200,2440
139,8,0.0,5000,63,54,110,5000,200,1250
140,5,99.4,5000,85,1234,110,5000,200,1250
140,6,99.1,5000,66,1511,110,5000,200,2440
140,8,100.4,5000,63,103,110,5000,200,1250
141,5,99.6,5000,85,1234,110,5000,200,1250
141,6,98.5,5000,66,1565,110,5000,200,2440
141,8,98.8,5000,63,159,110,5000,200,1250
142,5,99.4,5000,85,1234,110,5000,200,1250
142,6,101.4,5000,66,1621,110,5000,200,2440
142,8,100.6,5000,63,210,110,5000,200,1250
143,5,98.0,5000,85,1234,110,5000,200,1250
143,6,98.6,5000,66,1676,110,5000,200,2440
143,8,100.6,5000,63,266,110,5000,200,1250
144,5,99.1,5000,85,1234,110,5000,200,1250
144,6,102.1,5000,66,1731,110,5000,200,2440
144,8,98.8,5000,63,322,110,5000,200,1250
145,5,99.2,5000,85,1234,110,5000,200,1250
145,6,99.1,5000,66,1785,110,5000,200,2440
145,8,101.1,5000,63,368,110,5000,200,1250
146,5,99.0,5000,85,1234,110,5000,200,1250
146,6,100.9,5000,66,1844,110,5000,200,2440
146,8,99.3,5000,63,412,110,5000,200,1250
147,5,97.7,5000,85,1234,110,5000,200,1250
147,6,99.1,5000,66,1901,110,5000,200,2440
147,8,99.2,5000,63,461,110,5000,200,1250
148,5,99.1,5000,85,1234,110,5000,200,1250
148,6,101.3,5000,66,1958,110,5000,200,2440
148,8,101.2,5000,63,505,110,5000,200,1250
149,5,101.0,5000,85,1234,110,5000,200,1250
149,6,36.1,5000,66,1980,110,5000,200,2440
149,8,99.7,5000,63,553,110,5000,200,1250
150,5,99.2,5000,85,1234,110,5000,200,1250
150,6,0.0,5000,66,1980,110,5000,200,2440
150,8,99.4,5000,63,611,110,5000,200,1250
151,5,99.4,5000,85,1234,110,5000,200,1250
151,6,80.5,5000,66,1980,110,5000,200,2440
151,8,101.4,5000,63,667,110,5000,200,1250
152,5,97.7,5000,85,1234,110,5000,200,1250
152,6,99.4,5000,66,1980,110,5000,200,2440
152,8,99.3,5000,63,723,110,5000,200,1250
153,5,99.5,5000,85,1234,110,5000,200,1250
153,6,99.5,5000,66,1980,110,5000,200,2440
153,8,99.9,5000,63,779,110,5000,200,1250
154,5,98.5,5000,85,1234,110,5000,200,1250
154,6,99.5,5000,66,1981,110,5000,200,2440
154,8,99.6,5000,63,823,110,5000,200,1250
155,5,99.5,5000,85,1234,110,5000,200,1250
155,6,101.2,5000,66,1981,110,5000,200,2440
155,8,101.1,5000,63,864,110,5000,200,1250
156,5,99.4,5000,85,1234,110,5000,200,1250
156,6,101.2,5000,66,1981,110,5000,200,2440
156,8,99.5,5000,63,909,110,5000,200,1250
