time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
121,2,1.7,5000,164,85,110,5000,200,200
122,0,98.7,5000,166,86,110,5000,200,200
122,1,37.1,5000,195,85,110,5000,200,200
122,2,0.0,5000,164,85,110,5000,200,200
123,0,102.0,5000,166,86,110,5000,200,200
123,1,7.7,5000,195,85,110,5000,200,200
123,2,2.8,5000,164,85,110,5000,200,200
124,0,99.8,5000,166,86,110,5000,200,200
124,1,15.1,5000,195,85,110,5000,200,200
124,2,1.7,5000,164,85,110,5000,200,200
125,0,98.3,5000,166,86,110,5000,200,200
125,1,23.3,5000,195,85,110,5000,200,200
125,2,0.0,5000,164,85,110,5000,200,200
126,0,100.6,5000,166,86,110,5000,200,200
126,1,8.4,5000,195,85,110,5000,200,200
126,2,3.3,5000,164,85,110,5000,200,200
127,0,99.0,5000,166,86,110,5000,200,200
127,1,36.9,5000,195,85,110,5000,200,200
127,2,0.0,5000,164,85,110,5000,200,200
128,0,100.3,5000,166,86,110,5000,200,200
128,1,0.0,5000,195,85,110,5000,200,200
128,2,3.4,5000,164,85,110,5000,200,200
129,0,100.3,5000,166,86,110,5000,200,200
129,1,24.5,5000,195,85,110,5000,200,200
129,2,1.7,5000,164,85,110,5000,200,200
130,0,99.1,5000,166,86,110,5000,200,200
130,1,0.0,5000,195,85,110,5000,200,200
130,2,0.0,5000,164,85,110,5000,200,200
131,0,100.4,5000,166,86,110,5000,200,200
131,1,25.3,5000,195,85,110,5000,200,200
131,2,3.4,5000,164,85,110,5000,200,200
132,0,100.5,5000,166,86,110,5000,200,200
132,1,0.0,5000,195,85,110,5000,200,200
132,2,65.3,5000,164,85,110,5000,200,200
133,0,97.5,5000,166,86,110,5000,200,200
133,1,30.2,5000,195,85,110,5000,200,200
133,2,100.5,5000,164,85,110,5000,200,200
134,0,101.9,5000,166,86,110,5000,200,200
134,1,0.0,5000,195,85,110,5000,200,200
134,2,0.0,5000,164,85,110,5000,200,200
135,0,99.1,5000,166,86,110,5000,200,200
135,1,32.1,5000,195,85,110,5000,200,200
135,2,30.1,5000,164,85,110,5000,200,200
136,0,99.2,5000,166,86,110,5000,200,200
136,1,0.0,5000,195,85,110,5000,200,200
136,2,0.0,5000,164,85,110,5000,200,200
137,0,100.6,5000,166,86,110,5000,200,200
137,1,30.3,5000,195,85,110,5000,200,200
137,2,28.5,5000,164,85,110,5000,200,200
138,0,99.6,5000,166,86,110,5000,200,200
138,1,8.2,5000,195,85,110,5000,200,200
138,2,0.0,5000,164,85,110,5000,200,200
139,0,100.4,5000,166,86,110,5000,200,200
139,1,23.5,5000,195,85,110,5000,200,200
139,2,32.2,5000,164,85,110,5000,200,200
140,0,99.0,5000,166,86,110,5000,200,200
140,1,21.7,5000,195,85,110,5000,200,200
140,2,0.0,5000,164,85,110,5000,200,200
141,0,99.2,5000,166,86,110,5000,200,200
141,1,10.0,5000,195,85,110,5000,200,200
141,2,28.7,5000,164,85,110,5000,200,200
142,0,99.0,5000,166,86,110,5000,200,200
142,1,30.1,5000,195,85,110,5000,200,200
142,2,0.0,5000,164,85,110,5000,200,200
143,0,101.7,5000,166,86,110,5000,200,200
143,1,0.0,5000,195,85,110,5000,200,200
143,2,38.6,5000,164,85,110,5000,200,200
144,0,98.8,5000,166,86,110,5000,200,200
144,1,35.2,5000,195,85,110,5000,200,200
144,2,99.0,5000,164,85,110,5000,200,200
145,0,100.4,5000,166,86,110,5000,200,200
145,1,0.0,5000,195,85,110,5000,200,200
145,2,100.5,5000,164,85,110,5000,200,200
146,0,99.3,5000,166,86,110,5000,200,200
146,1,31.7,5000,195,85,110,5000,200,200
146,2,99.9,5000,164,85,110,5000,200,200
147,0,100.8,5000,166,86,110,5000,200,200
147,1,0.0,5000,195,85,110,5000,200,200
147,2,56.9,5000,164,85,110,5000,200,200
148,0,98.2,5000,166,86,110,5000,200,200
148,1,31.7,5000,195,85,110,5000,200,200
148,2,14.7,5000,164,85,110,5000,200,200
149,0,100.0,5000,166,86,110,5000,200,200
149,1,0.0,5000,195,85,110,5000,200,200
149,2,99.3,5000,164,85,110,5000,200,200
150,0,99.0,5000,166,86,110,5000,200,200
150,1,31.8,5000,195,85,110,5000,200,200
150,2,100.1,5000,164,85,110,5000,200,200
151,0,100.1,5000,166,86,110,5000,200,200
151,1,1.7,5000,195,85,110,5000,200,200
151,2,99.9,5000,164,85,110,5000,200,200
152,0,100.4,5000,166,86,110,5000,200,200
152,1,28.1,5000,195,85,110,5000,200,200
152,2,48.7,5000,164,85,110,5000,200,200
153,0,98.9,5000,166,86,110,5000,200,200
153,1,16.8,5000,195,85,110,5000,200,200
153,2,100.4,5000,164,85,110,5000,200,200
153,3,0.0,5000,0,0,110,5000,200,200
154,0,100.8,5000,166,86,110,5000,200,200
154,1,14.1,5000,195,85,110,5000,200,200
154,2,87.5,5000,164,85,110,5000,200,200
154,3,0.0,5000,236,34,110,5000,200,200
155,0,100.8,5000,166,86,110,5000,200,200
155,1,19.9,5000,195,85,110,5000,200,200
155,2,98.3,5000,164,85,110,5000,200,200
156,0,97.4,5000,166,86,110,5000,200,200
156,1,10.0,5000,195,85,110,5000,200,200
156,2,94.9,5000,164,85,110,5000,200,200
157,0,100.7,5000,166,86,110,5000,200,200
157,1,30.2,5000,195,85,110,5000,200,200
157,2,100.1,5000,164,85,110,5000,200,200
157,4,0.0,5000,236,0,110,5000,250,200
158,0,100.5,5000,166,86,110,5000,200,200
158,1,0.0,5000,195,85,110,5000,200,200
158,2,99.2,5000,164,85,110,5000,200,200
158,4,0.0,5000,236,34,110,5000,250,200
159,0,99.7,5000,166,86,110,5000,200,200
159,1,35.1,5000,195,85,110,5000,200,200
159,2,100.6,5000,164,85,110,5000,200,200
159,4,0.0,5000,236,34,110,5000,250,200
160,0,99.3,5000,166,86,110,5000,200,200
160,1,0.0,5000,195,85,110,5000,200,200
160,2,99.8,5000,164,85,110,5000,200,200
160,4,96.6,5000,236,37,110,5000,250,200
161,0,98.5,5000,166,86,110,5000,200,200
161,1,30.1,5000,195,85,110,5000,200,200
161,2,95.9,5000,164,85,110,5000,200,200
161,4,96.4,5000,236,40,110,5000,250,200
162,0,101.0,5000,166,86,110,5000,200,200
162,1,0.0,5000,195,85,110,5000,200,200
162,2,93.5,5000,164,85,110,5000,200,200
162,4,100.9,5000,236,43,110,5000,250,200
163,0,99.1,5000,166,86,110,5000,200,200
163,1,36.8,5000,195,85,110,5000,200,200
163,2,80.6,5000,164,85,110,5000,200,200
163,4,100.9,5000,236,47,110,5000,250,200
164,0,99.8,5000,166,86,110,5000,200,200
164,1,0.0,5000,195,85,110,5000,200,200
164,2,100.3,5000,164,85,110,5000,200,200
164,4,99.1,5000,236,51,110,5000,250,200
165,0,99.2,5000,166,86,110,5000,200,200
165,1,33.5,5000,195,85,110,5000,200,200
165,2,100.8,5000,164,85,110,5000,200,200
165,4,99.5,5000,236,55,110,5000,250,200
166,0,101.0,5000,166,86,110,5000,200,200
166,1,84.4,5000,195,85,110,5000,200,200
166,2,99.6,5000,164,85,110,5000,200,200
166,4,99.6,5000,236,59,110,5000,250,200
167,0,100.8,5000,166,86,110,5000,200,200
167,1,101.0,5000,195,85,110,5000,200,200
167,2,99.3,5000,164,85,110,5000,200,200
167,4,99.5,5000,236,63,110,5000,250,200
168,0,97.7,5000,166,86,110,5000,200,200
168,1,101.0,5000,195,85,110,5000,200,200
168,2,99.3,5000,164,85,110,5000,200,200
168,4,99.5,5000,236,67,110,5000,250,200
169,0,100.5,5000,166,86,110,5000,200,200
169,1,99.1,5000,195,85,110,5000,200,200
169,2,99.3,5000,164,85,110,5000,200,200
169,4,101.0,5000,236,70,110,5000,250,200
170,0,100.2,5000,166,86,110,5000,200,200
170,1,99.5,5000,195,85,110,5000,200,200
170,2,97.5,5000,164,85,110,5000,200,200
170,4,99.9,5000,236,74,110,5000,250,200
171,0,99.9,5000,166,86,110,5000,200,200
171,1,99.2,5000,195,86,110,5000,200,200
171,2,89.2,5000,164,85,110,5000,200,200
171,4,101.6,5000,236,77,110,5000,250,200
172,0,99.4,5000,166,86,110,5000,200,200
172,1,98.8,5000,195,86,110,5000,200,200
172,2,99.2,5000,164,85,110,5000,200,200
172,4,99.7,5000,236,81,110,5000,250,200
173,0,99.4,5000,166,86,110,5000,200,200
173,1,100.5,5000,195,86,110,5000,200,200
173,2,99.1,5000,164,85,110,5000,200,200
173,4,99.7,5000,236,84,110,5000,250,200
174,0,100.7,5000,166,86,110,5000,200,200
174,1,97.5,5000,195,86,110,5000,200,200
174,2,99.2,5000,164,85,110,5000,200,200
174,4,29.0,5000,236,85,110,5000,250,200
175,0,98.8,5000,166,86,110,5000,200,200
175,1,100.9,5000,195,86,110,5000,200,200
175,2,101.0,5000,164,85,110,5000,200,200
175,4,0.0,5000,236,85,110,5000,250,200
176,0,100.4,5000,166,86,110,5000,200,200
176,1,98.9,5000,195,86,110,5000,200,200
176,2,98.9,5000,164,85,110,5000,200,200
176,4,3.4,5000,236,85,110,5000,250,200
177,0,99.6,5000,166,86,110,5000,200,200
177,1,100.5,5000,195,86,110,5000,200,200
177,2,100.6,5000,164,85,110,5000,200,200
177,4,1.7,5000,236,85,110,5000,250,200
178,0,104.69999999999999,5000,166,86,110,5000,200,200
178,1,99.7,5000,195,86,110,5000,200,200
178,2,100.7,5000,164,85,110,5000,200,200
178,4,0.0,5000,236,85,110,5000,250,200
179,0,99.5,5000,166,86,110,5000,200,200
179,1,98.8,5000,195,86,110,5000,200,200
179,2,99.1,5000,164,85,110,5000,200,200
179,4,1.7,5000,236,85,110,5000,250,200
180,0,99.1,5000,166,86,110,5000,200,200
180,1,100.9,5000,195,86,110,5000,200,200
180,2,99.1,5000,164,85,110,5000,200,200
180,4,74.3,5000,236,85,110,5000,250,200
181,0,100.4,5000,166,86,110,5000,200,200
181,1,99.4,5000,195,86,110,5000,200,200
181,2,100.8,5000,164,85,110,5000,200,200
181,4,0.0,5000,236,85,110,5000,250,200
182,0,100.3,5000,166,86,110,5000,200,200
182,1,99.5,5000,195,86,110,5000,200,200
182,2,99.2,5000,164,85,110,5000,200,200
182,4,30.2,5000,236,85,110,5000,250,200
183,0,98.7,5000,166,86,110,5000,200,200
183,1,99.3,5000,195,86,110,5000,200,200
183,2,99.0,5000,164,85,110,5000,200,200
183,4,0.0,5000,236,85,110,5000,250,200
184,0,100.4,5000,166,86,110,5000,200,200
184,1,101.0,5000,195,86,110,5000,200,200
184,2,100.5,5000,164,85,110,5000,200,200
184,4,33.5,5000,236,85,110,5000,250,200
185,0,98.7,5000,166,86,110,5000,200,200
185,1,100.5,5000,195,86,110,5000,200,200
185,2,100.5,5000,164,85,110,5000,200,200
185,4,0.0,5000,236,85,110,5000,250,200
186,0,102.0,5000,166,86,110,5000,200,200
186,1,99.3,5000,195,86,110,5000,200,200
186,2,99.0,5000,164,85,110,5000,200,200
186,4,25.2,5000,236,85,110,5000,250,200
187,0,99.1,5000,166,86,110,5000,200,200
187,1,99.4,5000,195,86,110,5000,200,200
187,2,100.5,5000,164,85,110,5000,200,200
187,4,0.0,5000,236,85,110,5000,250,200
188,0,99.9,5000,166,86,110,5000,200,200
188,1,98.7,5000,195,86,110,5000,200,200
188,2,98.8,5000,164,85,110,5000,200,200
188,4,26.9,5000,236,85,110,5000,250,200
189,0,99.2,5000,166,86,110,5000,200,200
189,1,99.5,5000,195,86,110,5000,200,200
189,2,101.2,5000,164,85,110,5000,200,200
189,4,9.9,5000,236,85,110,5000,250,200
190,0,99.8,5000,166,86,110,5000,200,200
190,1,99.3,5000,195,86,110,5000,200,200
190,2,99.1,5000,164,85,110,5000,200,200
190,4,20.5,5000,236,85,110,5000,250,200
191,0,99.7,5000,166,86,110,5000,200,200
191,1,100.5,5000,195,86,110,5000,200,200
191,2,99.9,5000,164,85,110,5000,200,200
191,4,23.9,5000,236,85,110,5000,250,200
192,0,99.1,5000,166,86,110,5000,200,200
192,1,100.6,5000,195,86,110,5000,200,200
192,2,99.2,5000,164,85,110,5000,200,200
192,4,1.7,5000,236,85,110,5000,250,200
193,0,100.5,5000,166,86,110,5000,200,200
193,1,99.0,5000,195,86,110,5000,200,200
193,2,100.2,5000,164,85,110,5000,200,200
193,4,21.9,5000,236,85,110,5000,250,200
194,0,100.6,5000,166,86,110,5000,200,200
194,1,100.8,5000,195,86,110,5000,200,200
194,2,100.6,5000,164,85,110,5000,200,200
194,4,0.0,5000,236,85,110,5000,250,200
195,0,100.0,5000,166,86,110,5000,200,200
195,1,99.2,5000,195,86,110,5000,200,200
195,2,97.5,5000,164,85,110,5000,200,200
195,4,30.5,5000,236,85,110,5000,250,200
196,0,99.5,5000,166,86,110,5000,200,200
196,1,99.2,5000,195,86,110,5000,200,200
196,2,99.8,5000,164,85,110,5000,200,200
196,4,0.0,5000,236,85,110,5000,250,200
197,0,99.3,5000,166,86,110,5000,200,200
197,1,100.9,5000,195,86,110,5000,200,200
197,2,99.2,5000,164,85,110,5000,200,200
197,4,29.9,5000,236,85,110,5000,250,200
198,0,99.1,5000,166,86,110,5000,200,200
198,1,99.1,5000,195,86,110,5000,200,200
198,2,100.9,5000,164,85,110,5000,200,200
198,4,81.5,5000,236,85,110,5000,250,200
199,0,99.7,5000,166,86,110,5000,200,200
199,1,99.2,5000,195,86,110,5000,200,200
199,2,99.4,5000,164,85,110,5000,200,200
199,4,101.2,5000,236,85,110,5000,250,200
200,0,101.0,5000,166,86,110,5000,200,200
200,1,101.0,5000,195,86,110,5000,200,200
200,2,99.4,5000,164,85,110,5000,200,200
200,4,99.5,5000,236,85,110,5000,250,200
201,0,99.3,5000,166,86,110,5000,200,200
201,1,97.5,5000,195,86,110,5000,200,200
201,2,100.7,5000,164,85,110,5000,200,200
201,4,99.4,5000,236,85,110,5000,250,200
202,0,100.3,5000,166,86,110,5000,200,200
202,1,100.9,5000,195,86,110,5000,200,200
202,2,99.8,5000,164,85,110,5000,200,200
202,4,38.8,5000,236,85,110,5000,250,200
203,0,99.4,5000,166,86,110,5000,200,200
203,1,99.3,5000,195,86,110,5000,200,200
203,2,99.1,5000,164,85,110,5000,200,200
203,4,77.6,5000,236,85,110,5000,250,200
204,0,98.9,5000,166,86,110,5000,200,200
204,1,99.3,5000,195,86,110,5000,200,200
204,2,100.8,5000,164,86,110,5000,200,200
204,4,42.0,5000,236,85,110,5000,250,200
205,0,101.7,5000,166,86,110,5000,200,200
205,1,99.0,5000,195,86,110,5000,200,200
205,2,100.7,5000,164,86,110,5000,200,200
205,4,90.5,5000,236,85,110,5000,250,200
206,0,99.5,5000,166,86,110,5000,200,200
206,1,100.9,5000,195,86,110,5000,200,200
206,2,101.1,5000,164,86,110,5000,200,200
206,4,18.5,5000,236,85,110,5000,250,200
207,0,99.3,5000,166,86,110,5000,200,200
207,1,98.1,5000,195,86,110,5000,200,200
207,2,99.0,5000,164,86,110,5000,200,200
207,4,100.8,5000,236,85,110,5000,250,200
208,0,99.2,5000,166,86,110,5000,200,200
208,1,101.5,5000,195,86,110,5000,200,200
208,2,98.8,5000,164,86,110,5000,200,200
208,4,21.9,5000,236,85,110,5000,250,200
209,0,99.0,5000,166,86,110,5000,200,200
209,1,98.4,5000,195,86,110,5000,200,200
209,2,100.8,5000,164,86,110,5000,200,200
209,4,82.2,5000,236,85,110,5000,250,200
210,0,100.9,5000,166,86,110,5000,200,200
210,1,101.1,5000,195,86,110,5000,200,200
210,2,99.1,5000,164,86,110,5000,200,200
210,4,33.6,5000,236,85,110,5000,250,200
211,0,100.0,5000,166,86,110,5000,200,200
211,1,99.7,5000,195,86,110,5000,200,200
211,2,99.1,5000,164,86,110,5000,200,200
211,4,57.6,5000,236,85,110,5000,250,200
212,0,101.2,5000,166,86,110,5000,200,200
212,1,96.9,5000,195,86,110,5000,200,200
212,2,101.1,5000,164,86,110,5000,200,200
212,4,50.6,5000,236,85,110,5000,250,200
213,0,98.9,5000,166,86,110,5000,200,200
213,1,101.1,5000,195,86,110,5000,200,200
213,2,99.2,5000,164,86,110,5000,200,200
213,4,69.0,5000,236,85,110,5000,250,200
214,0,98.9,5000,166,86,110,5000,200,200
214,1,98.7,5000,195,86,110,5000,200,200
214,2,100.9,5000,164,86,110,5000,200,200
214,4,63.9,5000,236,85,110,5000,250,200
215,0,100.2,5000,166,86,110,5000,200,200
215,1,99.4,5000,195,86,110,5000,200,200
215,2,97.4,5000,164,86,110,5000,200,200
215,4,52.4,5000,236,85,110,5000,250,200
216,0,99.9,5000,166,86,110,5000,200,200
216,1,100.6,5000,195,86,110,5000,200,200
216,2,99.3,5000,164,86,110,5000,200,200
216,4,79.8,5000,236,85,110,5000,250,200
217,0,99.8,5000,166,86,110,5000,200,200
217,1,99.4,5000,195,86,110,5000,200,200
217,2,101.2,5000,164,86,110,5000,200,200
217,4,28.7,5000,236,85,110,5000,250,200
218,0,99.7,5000,166,86,110,5000,200,200
218,1,98.9,5000,195,86,110,5000,200,200
218,2,99.8,5000,164,86,110,5000,200,200
218,4,93.3,5000,236,85,110,5000,250,200
219,0,99.7,5000,166,86,110,5000,200,200
219,1,100.0,5000,195,86,110,5000,200,200
219,2,99.7,5000,164,86,110,5000,200,200
219,4,6.7,5000,236,85,110,5000,250,200
220,0,99.4,5000,166,86,110,5000,200,200
220,1,101.1,5000,195,86,110,5000,200,200
220,2,99.7,5000,164,86,110,5000,200,200
220,4,96.2,5000,236,85,110,5000,250,200
221,0,99.6,5000,166,86,110,5000,200,200
221,1,97.9,5000,195,86,110,5000,200,200
221,2,101.1,5000,164,86,110,5000,200,200
221,4,20.3,5000,236,85,110,5000,250,200
