TASK_ID -- core -- memory -- disk -- time -- drop_out_rate -- num_residual_blocks
173 -- 0.623 -- 2848 -- 2437 -- 1437.938817 -- 0.45 -- 13
306 -- 1.006 -- 3145 -- 2437 -- 854.089519 -- 0.8 -- 6
325 -- 1.007 -- 3113 -- 2437 -- 773.841058 -- 0.8500000000000001 -- 5
86 -- 1.003 -- 3153 -- 2437 -- 1928.298845 -- 0.25 -- 6
172 -- 1 -- 3231 -- 2437 -- 1460.258129 -- 0.45 -- 12
249 -- 1.004 -- 3178 -- 2437 -- 1112.495403 -- 0.65 -- 9
115 -- 1.003 -- 3325 -- 2437 -- 1774.993332 -- 0.30000000000000004 -- 15
316 -- 1.004 -- 3206 -- 2437 -- 838.402304 -- 0.8 -- 16
210 -- 1.004 -- 3277 -- 2437 -- 1303.894705 -- 0.55 -- 10
301 -- 0.521 -- 3075 -- 2437 -- 915.697636 -- 0.8 -- 1
80 -- 1.003 -- 3455 -- 2437 -- 2011.62325 -- 0.25 -- 20
166 -- 0.616 -- 3122 -- 2437 -- 1554.607675 -- 0.45 -- 6
345 -- 1.006 -- 3099 -- 2437 -- 773.841356 -- 0.9 -- 5
212 -- 1.004 -- 3269 -- 2437 -- 1355.362374 -- 0.55 -- 12
161 -- 0.623 -- 3087 -- 2437 -- 1600.134044 -- 0.45 -- 1
169 -- 0.538 -- 2979 -- 2437 -- 1560.01848 -- 0.45 -- 9
54 -- 0.76 -- 3311 -- 2437 -- 2238.865255 -- 0.15000000000000002 -- 14
8 -- 1.002 -- 3174 -- 2437 -- 2544.627711 -- 0.05 -- 8
302 -- 0.526 -- 2954 -- 2437 -- 993.255677 -- 0.8 -- 2
326 -- 1.006 -- 3157 -- 2437 -- 895.311121 -- 0.8500000000000001 -- 6
244 -- 0.5570000000000001 -- 3116 -- 2437 -- 1249.869174 -- 0.65 -- 4
207 -- 0.671 -- 3184 -- 2437 -- 1424.312958 -- 0.55 -- 7
344 -- 0.852 -- 2984 -- 2437 -- 834.199348 -- 0.9 -- 4
117 -- 1.003 -- 3295 -- 2437 -- 1884.64749 -- 0.30000000000000004 -- 17
276 -- 1.007 -- 3187 -- 2437 -- 1133.02517 -- 0.7000000000000001 -- 16
155 -- 1.003 -- 3304 -- 2437 -- 1702.214377 -- 0.4 -- 15
136 -- 1.003 -- 3283 -- 2437 -- 1808.045494 -- 0.35000000000000003 -- 16
36 -- 0.753 -- 3333 -- 2437 -- 2428.94449 -- 0.1 -- 16
337 -- 1.005 -- 2976 -- 2437 -- 928.330616 -- 0.8500000000000001 -- 17
327 -- 0.725 -- 2716 -- 2437 -- 974.014719 -- 0.8500000000000001 -- 7
59 -- 1.003 -- 3307 -- 2437 -- 2314.080431 -- 0.15000000000000002 -- 19
213 -- 1.004 -- 3263 -- 2437 -- 1480.642265 -- 0.55 -- 13
352 -- 1.01 -- 3051 -- 2437 -- 888.505647 -- 0.9 -- 12
55 -- 0.723 -- 3303 -- 2437 -- 2372.840585 -- 0.15000000000000002 -- 15
361 -- 0.531 -- 3073 -- 2437 -- 875.292358 -- 0.9500000000000001 -- 1
370 -- 0.99 -- 3215 -- 2437 -- 829.763511 -- 0.9500000000000001 -- 10
214 -- 1.004 -- 3281 -- 2437 -- 1523.799782 -- 0.55 -- 14
83 -- 0.627 -- 3107 -- 2437 -- 2219.724307 -- 0.25 -- 3
134 -- 0.781 -- 3282 -- 2437 -- 1934.540193 -- 0.35000000000000003 -- 14
97 -- 1.003 -- 3309 -- 2437 -- 2134.738967 -- 0.25 -- 17
237 -- 1.003 -- 2991 -- 2437 -- 1430.827375 -- 0.6000000000000001 -- 17
265 -- 0.588 -- 3094 -- 2437 -- 1334.940455 -- 0.7000000000000001 -- 5
247 -- 0.6899999999999999 -- 3191 -- 2437 -- 1420.875651 -- 0.65 -- 7
218 -- 1.002 -- 2905 -- 2437 -- 1558.833738 -- 0.55 -- 18
49 -- 1.002 -- 3240 -- 2437 -- 2489.660425 -- 0.15000000000000002 -- 9
313 -- 0.999 -- 3188 -- 2437 -- 1159.73476 -- 0.8 -- 13
138 -- 1.003 -- 3309 -- 2437 -- 1981.957574 -- 0.35000000000000003 -- 18
195 -- 1.003 -- 3268 -- 2437 -- 1743.118008 -- 0.5 -- 15
191 -- 0.542 -- 2901 -- 2437 -- 1776.777755 -- 0.5 -- 11
159 -- 1.003 -- 3351 -- 2437 -- 1948.961074 -- 0.4 -- 19
280 -- 1.003 -- 3147 -- 2437 -- 1401.483883 -- 0.75 -- 20
226 -- 0.5580000000000001 -- 3124 -- 2437 -- 1622.061546 -- 0.6000000000000001 -- 6
234 -- 1.004 -- 3280 -- 2437 -- 1608.780524 -- 0.6000000000000001 -- 14
379 -- 1.003 -- 3072 -- 2437 -- 987.5455480000001 -- 0.9500000000000001 -- 19
158 -- 1.003 -- 3347 -- 2437 -- 1979.061293 -- 0.4 -- 18
215 -- 1.003 -- 3304 -- 2437 -- 1709.431582 -- 0.55 -- 15
288 -- 0.735 -- 3086 -- 2437 -- 1420.087318 -- 0.75 -- 8
37 -- 0.778 -- 3299 -- 2437 -- 2741.336431 -- 0.1 -- 17
181 -- 0.517 -- 3073 -- 2437 -- 1929.00144 -- 0.5 -- 1
175 -- 0.632 -- 2862 -- 2437 -- 1958.490554 -- 0.45 -- 15
216 -- 1.003 -- 3277 -- 2437 -- 1778.308071 -- 0.55 -- 16
323 -- 0.542 -- 3112 -- 2437 -- 1329.903391 -- 0.8500000000000001 -- 3
330 -- 1.001 -- 3181 -- 2437 -- 1332.124647 -- 0.8500000000000001 -- 10
332 -- 1.004 -- 3255 -- 2437 -- 1343.600852 -- 0.8500000000000001 -- 12
335 -- 1.003 -- 3075 -- 2437 -- 1361.055145 -- 0.8500000000000001 -- 15
34 -- 0.596 -- 3260 -- 2437 -- 2909.433001 -- 0.1 -- 14
